"Note","Course","Module","Clip","Time in Clip","URL"
"Initialization Blocks:\n- initialization blocks are shared across all constructors\n   - executed as if the code were placed at the start of each constructor\n   - enclose statements in brackets outside of any method or constructor\n   - if you implement more than one initialization block, they will run in the order that they are implemented from top to bottom\n- Example:\npublic class Flight{\nprivate int passengers, flightNumber,seats=150;\nprivate char flightClass;\nprivate boolean[] isSeatAvailable;\n\n{\nis SeatAvailable = new boolean [seats];\nfor(int i=0;i,seats;i++)\nisSeatAvailable[i] = true;\n}\n\npublic Flight(){}\n\npublic Flight(int flightNumber){\nthis.flightNumber = flightNumber;\n}\n\npublic Flight(char flightClass){\nthis.flightClass = flightClass;\n}\n\n\nTHE INITIALIZATION BLOCK (WHICH IS THE CODE SURROUNDED BY BRACKETS RIGHT BELOW THE FIELD DECLARATIONS AND RIGHT ABOVE THE CONSTRUCTOR DECLARATIONS) IS IMPLEMENTED AT THE BEGINNING OF EACH CONSTRUCTOR THAT FOLLOWS\nSO IN THIS CASE, ALL THE SEATS ARE SET TO AVAILABLE FOR ALL 3 CONSTRUCTORS AT THE VERY BEGINNING OF EACH ONE","Java Fundamentals: The Java Language","Class Initializers and Constructors","Initialization Blocks","0:04","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=6&mode=live&start=4.567488&noteid=2372c479-e51c-4254-acad-9c61a49168c9"
"Initialization and Construction Order:\n - Constructor code overrides Initialization Block code which overrides Field Initialization code\n    - essentially, if you set the value of a parameter var = 1 in the field initialization,var = 2 in the initialization block, and var = 3 in the constructor, the value of var in the initialization block will override the value of var in the field initialization, and the value of var in the constructor will override the value of var in the initialization block, making the official value of var 3.","Java Fundamentals: The Java Language","Class Initializers and Constructors","Initialization and Construction Order","0:11","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=7&mode=live&start=11.658806&noteid=ff14942a-5a09-4561-a93b-221d67856a7f"
"Parameter Immutability:\n- parameters in Java are passed by-value = parameters are passed by making a copy of the value\n- changes made to passed value are not visible outside of method, whether it's a primitive type or a reference object such as a class\n- however, changes made to MEMBERS of passed class instances ARE visible outside of method\n   - essentially, if you make changes to a class inside a function, the changes to that class' MEMBERS will STICK","Java Fundamentals: The Java Language","A Closer Look at Parameters","Parameter Immutability","0:04","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m7&clip=1&mode=live&start=4.875664&noteid=88a10a6f-ab44-4153-9b87-6f0d944f7af2"
"Overloading:\n- when a class has multiple versions of its constructor or methods\n- each constructor and method must have a unique signature, made up of 3 parts\n   - number of parameters\n   - type of each parameter\n   - must have same name (only applies to methods)\n- while constructors must call other constructors in the very first line, methods can call other versions of the same method at any point in the implementation\n- if method call contains parameter not mentioned in any of the possible method versions, will try to convert/cast itself to work for one of the possible methods (such as a short being converted to an int because the function takes an int parameter, widening conversions are legal, narrowing conversions are illegal), and if nothing is possible, error","Java Fundamentals: The Java Language","A Closer Look at Parameters","Overloading","0:02","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m7&clip=2&mode=live&start=2.965941&noteid=6e658c9d-5b1a-493d-8cd4-580e7b849b2b"
"Variable Number of Parameters:\n- a method can be declared to accept a varying number of parameter values\n  - in order to do so, when you declare a parameter, place an ellipse after the parameter type\n  - can only be used on the last parameter for a method\n  - the variable number of parameters are handled as an array\n    - so essentially: \nPassenger [] list = Passenger ... list,\n=> f.addPassengers( new Passenger[] {janet,john}); = f.addPassengers(janet,john);","Java Fundamentals: The Java Language","A Closer Look at Parameters","Variable Number of Parameters","0:12","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m7&clip=5&mode=live&start=12.391285&noteid=18690078-5e89-4ca2-82c8-5bc476b79aae"
"Class Inheritance:\n- a class can be declared to inherit (aka derive) from another class using the ""extends"" keyword\n- the derived class has the characteristics of the base class, but you can add specializations to create more capabilities\n- if a class extends another class, it can use that base class' methods and fields, as well as create its own\n- instances of the derived class can be assigned to base class typed references (ex. if CargoFlight extends Flight, in addition to \nCargoFlight cf = new CargoFlight() being legal, the following is also legal:\nFlight f = new CargoFlight() )  \n     - Note, however, that if you do that, you only have access to the capabilities of the Flight class, and not of the CargoFlight class\n     - Value of this is that it allows us to perform Flight-based actions without being concerned about the specific type of the instance\n- if the derived class adds a field that has the same name as a field in the base class, it will actually hide the base class version of the field.\n   - but be careful when doing the equivalent of \nFlight f = new CargoFlight()\nbecause then f's value for the field will follow the rules of the Flight class, even though it is assigned as a CargoFlight\n- if you have a derived class with a method with the same signature as a base class method, it will override it\n   - so if we do the equivalent of  \nFlight f = new CargoFlight() , \nand both Flight and CargoFlight have the same method, the CargoFlight version of the method will override the Flight version because f was assigned to a new CargoFlight() and NOT to a new Flight()\n- all messages are automatically overrideable\n- use the ""@Override"" keyword right above the derived class version of the method to make sure the compiler knows that you are trying to override the base class version of that method\n\n","Java Fundamentals: The Java Language","Class Inheritance","Inheritance Basics and Typed References","0:09","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=1&mode=live&start=9.379861&noteid=523a27ed-a6ae-4415-b317-5a8edb16cfaf"
"Object Class\n- the root of the Java class hierarchy\n- every class has the characteristics of the Object class\n- useful for declaring variables, fields, and parameters that can reference any class or array instance\n- essentially a universal reference type\n- defines a number of methods are inherited by all objects\n","Java Fundamentals: The Java Language","Class Inheritance","Object Class","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=3&mode=live&start=3.023099&noteid=5fe72745-d69f-409f-a0b2-390cd1a53059"
"Inheriting from Object:\n- every class inherits directly or indirectly from the Object class\n- by implication, every class extends the Object class\n- ""o instanceof CargoFlight"": boolean method that confirms whether Object o is an instance of the CargoFlight class","Java Fundamentals: The Java Language","Class Inheritance","Object Class","0:49","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=3&mode=live&start=49.891663&noteid=18bd9e04-8f25-420f-a3be-74a792be05f4"
"Object Class Methods:\n- clone: create a new object instance that duplicates the current instance\n- hashCode: get a hash code for the current instance\n- getClass: return type information for the current instance\n- finalize: handle special resource cleanup scenarios\n- toString: return string of characters representing the current instance\n- equals: compare another object to the current instance for equality","Java Fundamentals: The Java Language","Class Inheritance","Object Class","5:18","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=3&mode=live&start=318.635665&noteid=c247e9b7-3d83-40ea-8af0-5bf1ae182989"
"Equality:\n- what does it mean to be equal?\n- both ""=="" and ""equals"" do a reference equals test: do both of these references point to the exact same object instance?\n- we can, however, override the equals method\n- Flight example: \n@Override\npublic boolean equals(Object o){\nif(!(o instanceof Flight)){\nreturn false; }\nFlight other = (Flight)o;\nreturn flightnumber == other.flightNUmber && flightclass == other.flightClass; }\n   - ""Flight other = (Flight)o"" is required because in order to override the method signature has to be exactly the same, but we want to work with only Flight objects, so we need to cast ""o"" as a Flight and assign it to a temp variable\n   -  ""if(!(o instanceof Flight)){\nreturn false; }"" is required to ensure that the object passed into this version of the equals method MUST be a Flight","Java Fundamentals: The Java Language","Class Inheritance","Equality","0:04","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=4&mode=live&start=4.932069&noteid=be01e110-d401-4dfc-8cbc-ef73750505a5"
"Special Reference: super\n- similar to ""this"", ""super"" is an implicit reference to the current object\n  - the difference, though, is that ""super"" treats the object as if it is an instance of its base class\n  - useful for accessing base class members that have been overriden\n- Same Flight Example:\n@Override\npublic boolean equals(Object o){\nif(super.equals(o){\nreturn true;}\nif(!(o instanceof Flight)){\nreturn false; }\nFlight other = (Flight)o;\nreturn flightnumber == other.flightNUmber && flightclass == other.flightClass; }\n- ""if(super.equals(o){ return true;}""\nis used to check if the two references do happen to actually point at the exact same object, in which case we would want to use the ORIGINAL version of the equals function (which checks that the references are pointing to the exact same object), requiring that we say \n""super.equals"" in order to utilize the Object class version of the equals function instead of the Flight class version","Java Fundamentals: The Java Language","Class Inheritance","Special Reference: Super","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=5&mode=live&start=3.230427&noteid=d17b8388-0880-4313-a801-4db04dd0def2"
"Controlling Inheritance & Overriding:\n- by default, all classes can be extended\n- all derived classes have the option to use or override inherited methods\n- however, a class can change these defaults\n- use ""final"" to prevent inheriting and/or overriding\n- use ""abstract"" to require inheriting and/or overriding","Java Fundamentals: The Java Language","Class Inheritance","Using Final and Abstract","0:02","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=6&mode=live&start=2.178463&noteid=5743efef-5554-4895-ace0-ec1d1e43d995"
" Using Final:\n- ""public final"" / ""final public"" class ClassName makes it that the class ClassName CANNOT be extended\n- ""public final"" returntype MethodName() makes it that the method MethodName CANNOT be overriden","Java Fundamentals: The Java Language","Class Inheritance","Using Final and Abstract","0:05","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=6&mode=live&start=5.985472&noteid=d712ea85-b4f3-444a-898a-d32874097af5"
"Using Abstract:\n- if you have an abstract method you HAVE to mark the entire class as abstract\n- ""public abstract"" returntype MethodName() "";"" makes it that the method MethodName MUST be overriden, as we are INCLUDING a ; at the end to emphasize that we are not including the code for MethodName, but rather that the inheriting class must override it.\n   - note that MethodName can still be referred to in the original class as a function that does something, so long as when the inheriting class extends the original class, MethodName is overriden and given an actual body of code","Java Fundamentals: The Java Language","Class Inheritance","Using Final and Abstract","2:46","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=6&mode=live&start=166.193603&noteid=9bee186f-d927-4ba0-a0ad-1906595b789f"
"Inheritance and Constructors:\n- In Java, constructors are not inherited\n    - each class is always responsible for defining its own constructors\n- a derived class, however, must always call one of the base class constructors, and it will always call a base-class constructor, EVEN IF we don't specify one in the constructor's body of code\n    - that call DOES NOT have to be explicit; by default, the base class' no-argument constructor is called\n    - can explicitly call a base class constructor using ""super(correct parameter list of the base class constructor)""\n         - must be first line of constructor though\n","Java Fundamentals: The Java Language","Class Inheritance","Inheritance and Constructors","0:10","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m8&clip=7&mode=live&start=10.673285&noteid=dd7e569e-9666-46f2-98f7-7c5c4236ca27"
"String class:\n- stores a sequence of unicode characters\n    - stored using UTF-16 encoding, which means it can store essentially any character\n- literal strings are enclosed in """" """"\n- values can be concatenated using \n=/+=\n- String objects are immutable - once it was created, it can never be changed, so anything that changes that value requires that a new instance of the String object be created\n     - so even if you were to just concatenate one more char, you're actually pointing to a brand new string that happens to have what you originally had + the extra char","Java Fundamentals: The Java Language","More About Data Types","String Class","0:10","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=1&mode=live&start=10.219009&noteid=f8e77813-9369-47f8-b72c-f94ccfd56c23"
"Select String Class Methods:\n- Length: length\n- String for non-string: valueOf\n- Create new string(s) from existing strings:\n    - concat, replace, toLowerCase,toUpperCase,trim,split\n- Extract substring: charAt, substring\n- Test substring: \n    - contains, endsWith,startsWith,indexOf, lastIndexOf\n- Comparison: \n    - compareTo,compareToIgnoreCase,isEmpty,equals,equalsIgnoreCase","Java Fundamentals: The Java Language","More About Data Types","String Class","2:23","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=1&mode=live&start=143.29692&noteid=4a7ee454-b675-4228-8507-7c093ecab207"
"String equality:\n- the equals method does a char by char comparison of the two values and if they all match, it returns true\n- the ""intern"" method gives back a canonicalized reference of a string value\n- the ""intern"" method will return back one specific string object for each string value \n     - Example: if you have 3 different strings a,b,c with the value ""hello"",\na!=b!=c BUT \na.intern() == b.intern() == c.intern\n- the intern method assures that two strings with the same value will reference the exact same object, which then allows us to use the ""=="" operator to do the comparison, which is good because ""=="" is cheaper than ""equals"" comparing char by char\n- series of one-off comparisons: equals\n- a lot of comparisons: intern","Java Fundamentals: The Java Language","More About Data Types","String Equality","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=2&mode=live&start=3.449473&noteid=480272f0-e0c2-4b91-aeab-6eae6bdbb3e7"
"Converting Non-strings to Strings:\n- String.valueOf provides overrides to handle most types\n- conversions often happen implicitly\n- class conversions are controlled by the class' toString method (which we implement by overriding the Object class' version of toString)","Java Fundamentals: The Java Language","More About Data Types","String Representation of Non-string Values","0:05","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=3&mode=live&start=5.329987&noteid=26c3df24-1657-41b8-8db9-6eea4b46f136"
"StringBuilder:\n- provides a mutable string buffer, providing us with an efficient way to manipulate strings\n    - for best performance, pre-size the buffer by providing initial capacity\n    - will grow automatically if you exceed the capacity, but try to get the pre-size correct, since expanding has overhead\n- StringBuilder sb = new StringBuilder(pre-size buffer)\n- most common methods:\n    - append(string): add to the end\n    - insert(position, string): add at the given position, moving everything to the right\n- to get the actual string at the end:\nString message = sb.toString()","Java Fundamentals: The Java Language","More About Data Types","StringBuilder Class","0:00","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=4&mode=live&start=0.325917&noteid=e557a6c5-80cd-44f3-94ff-cdd932517920"
"Classes vs. Primitives:\n- Classes:\n    - provide convenience\n    - common interaction through Object class\n    - fields and methods specific to the type\n    - incurs an overhead cost\n- Primitives:\n    - provide efficiency\n    - cannot be treated as Object\n    - cannot expose fields or methods\n    - lightweight","Java Fundamentals: The Java Language","More About Data Types","Primitive Wrapper Classes and Type Conversions","0:06","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=5&mode=live&start=6.906059&noteid=ba8d0417-a5a2-4e1c-932f-94c76dba23e1"
"Primitive Wrapper Classes:\n- capabilities and overhead of classes\n- hold primitive values\n- they are legit classes, so they refer to the Object class\n- each of the primitive types has a corresponding wrapper class\n    - boolean primitive type has wrapper type Boolean\n    - char has Character\n    - all numeric values have Number, but it's split further so that:\n       - int has Integer\n       - double has Double\n       - same for byte (Byte), short (Short), long (Long), float (Float)\n    - each can be treated as objects, and have fields and methods associated with them that are particular to that type\n- note that all primitive wrapper classes are IMMUTABLE, like working with strings","Java Fundamentals: The Java Language","More About Data Types","Primitive Wrapper Classes and Type Conversions","1:34","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=5&mode=live&start=94.935074&noteid=7667b56e-9b02-47c7-93e5-c6b86d0491ef"
"Wrapper Class & Primitive Conversion:\n- Java provides a number of ways to handle conversions\n    - common conversions are handled automatically\n- wrapper classes provide methods for explicit conversions:\n   - primitive to wrapper: use valueOf (this process is known as boxing)\n   - wrapper to primitive: use Integer.intValue/Double.doubleValue/ etc (this process is known as unboxing)\n   - String to primitive: use Double.parseDouble/Integer.parseInt/etc (gives you back the primitive value corresponding to the parsed string)\n   - String to wrapper: use Double.valueOf/Integer.valueOf/etc\n(gives you back a reference to a wrapper class)","Java Fundamentals: The Java Language","More About Data Types","Primitive Wrapper Classes and Type Conversions","3:12","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=5&mode=live&start=192.662713&noteid=1e0e669c-7dfb-4a17-be23-0b02f54c3b8c"
"Using Wrapper Classes:\n- we can treat primitive types as objects\n- null references\n   - given flightNumber and flightClass as a primitive int and char respectively, it's hard to tell if they were actually set in the first place because you can't check if they're equal to null; instead you'd only be able to check if flightNumber>0 and hope for the best with flightClass\n   - but if you change them to Integer flightNumber and Character flightClass, you can then check if they were set by checking if they are != null, and printing them out is simple because Java will automatically convert them to the primitive form to print","Java Fundamentals: The Java Language","More About Data Types","Using Primitive Wrapper Classes","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=6&mode=live&start=3.677095&noteid=8e548b5a-7e74-4a85-a732-6026015c2b96"
"Examples of Wrapper Class Members:\n- Byte/Short/Integer/Long: \n   - MIN_VALUE, MAX_VALUE,bitCount,toBinaryString\n- Float/Double:\n   - MIN_VALUE,MAX_VALUE,isInfinite,isNan\n- Character: \n  - MIN_VALUE,MAX_VALUE,isDigit,isLetter\n- Boolean:\n - TRUE,FALSE","Java Fundamentals: The Java Language","More About Data Types","Using Primitive Wrapper Classes","2:34","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=6&mode=live&start=154.332899&noteid=c7697141-fa71-4b10-8f78-a2c85465b6a1"
"Wrapper Class Equality:\n- usually we use ""equals"" because wrapper classes are similar to strings\n- but for the following ranges, boxing conversions always return the same wrapper class instance, so you can use ""=="":\n- int/short/byte: -128 to 127\n- char: 0x0000 to 0X00ff\n- boolean: true, false\n","Java Fundamentals: The Java Language","More About Data Types","Wrapper Class Equality","2:22","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=7&mode=live&start=142.903888&noteid=03c9f48f-b727-42b2-9500-8efd1da3b492"
"Final Fields:\n- marking a field as final prevents it from being changed once assigned\n   - a simple final field must be set during the creation of an object instance\n    - can be set with field initializer, initialization block, or constructor\n    - Example: ""private final int freeBags;"" would mean that once the value of freeBags is set for the first time by the constructor, any time somebody tries to change it after that, a compile error will be thrown\n- adding the static modifier makes a final field a named constant\n    - cannot be set by an object instance\n   - Example: ""static final int MAX_FAA_SEATS = 550;"" means that MAX_FAA_SEATS will have the value 550 in ALL Flight instances\n  - are by convention all uppercase\n  - useful in order to avoid having to put literal numbers/characters inside of our code and one change to the variable while implementing will change it for all lines of code it's in instead of having to change each line individually","Java Fundamentals: The Java Language","More About Data Types","Final Fields and Enumeration Types","0:11","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=8&mode=live&start=11.462344&noteid=05f96ebd-8e77-4dd1-8c23-8877df1b57fe"
"Enumeration Types:\n- enumeration types are useful for defining a type with a finite list of valid values\n  - declare with enum keyword\n  - provide a comma-separated value list\n  - Example: \npublic enum FlightCrewJob{\nPilot,\nCoPilot,\nFlightAttendant,\nAirMarshal\n}\n      - and now we can use FlightCrewJob as a TYPE\n      - to set a FlightCrewJob value: \n""CrewMember judy = new CrewMember(FlightCrewJob.CoPilot);""\n      - to change a FlightCrewJob value: ""Judy.setJob(FlightCrewJob.Pilot);""\n      - note that to refer to any of the values, you need FlightCrewJob.Pilot/CoPilot/FlightAttendant/AirMarshal\nAKA enumname.enumvalue","Java Fundamentals: The Java Language","More About Data Types","Final Fields and Enumeration Types","2:51","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m9&clip=8&mode=live&start=171.327513&noteid=6bfab4d1-b0aa-4f92-a176-1d1eb2193a33"
"Error Handling with Exceptions:\n- error handling needs to be implicit in application development\n   - the traditional approach of checking error codes/flags  is too intrusive\n- Exceptions provide a non-intrusive way to signal errors\n   - try/catch/finally provides a structured way to handle exceptions\n      - the try block contains the     ""normal"" code to execute, and the block executes to completion UNLESS  an exception is thrown\n      - the catch block contains the error handling code, and executes ONLY if the matching exception is thrown\n      - the finally block contains cleanup code if needed, and runs in all cases following the try or catch blocks - guaranteed to run no matter what\n- Example:\nBufferedReader reader = null;\nint total = 0;\ntry {\nreader =\nnew BufferedReader(new FileReader(""C:\Numbers.txt""));\nString line = null;\nwhile ((line = reader.readLine()) != null)\ntotal += Integer.valueOf(line);\nSystem.out.println(""Total: "" + total);\n} catch(Exception e) {\nSystem.out.println(e.getMessage());\n} finally {\ntry {\nif(reader != null)\nreader.close();\n} catch(Exception e) {\nSystem.out.println(e.getMessage());\n}\n}\n\nTwo useful functions for Exception e:\n1- e.getMessage() prints out the error message\n2- e.printStackTrace() prints out what it says on the stack that hopefully helps you understand what caused the error","Java Fundamentals: The Java Language","Exceptions and Error Handling","Error Handling with Exceptions","0:01","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=1&mode=live&start=1.926489&noteid=9d0fabd6-effd-41c2-b1bc-9859bcd1dbc6"
"Exception Class Hierarchy:\n- Object:\n  - Throwable\n   - Error: such as LinkageError, these are Virtual machine related errors (treated as unchecked exceptions)\n   - Exception\n     - RuntimeException\n       - such as NullPointerException, these are unchecked exceptions\n     - All other exceptions, such as IOException, are checked exceptions","Java Fundamentals: The Java Language","Exceptions and Error Handling","Handling Exceptions by Type","0:07","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=2&mode=live&start=7.167962&noteid=192c3fd2-81d4-4ef9-a70d-c5aacbfcbbaa"
"Checked exceptions: Exceptions that you MUST prepare for, otherwise the compiler won't compile your code.\n\nUnchecked exceptions: Exceptions that you CAN prepare for, but the compiler won't force you.","Java Fundamentals: The Java Language","Exceptions and Error Handling","Handling Exceptions by Type","2:58","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=2&mode=live&start=178.452939&noteid=3f005dd9-8c21-491e-a0ee-1930e347f295"
"Typed Exceptions:\n- Exceptions can be handled by type\n  - each exception type can have a SEPARATE catch block\n  - each catch is tested in order from top to bottom\n  - first assignable catch is selected, meaning that the catch block handles an exception that is either the type of exception thrown, or the base class of the type of exception thrown\n     - because a base class can satisfy the catch statement, we start catch blocks with the most specific exception types first and get more general as we go down\n     - use the type hierarchy to determine the order\n- Example:\nBufferedReader reader = null;\nint total = 0;\ntry {\n. . .\n} catch(NumberFormatException e) {\nSystem.out.println(“Invalid value: “ +\ne.getMessage());\n} catch(FileNotFoundException e) {\nSystem.out.println(“Not found: “ +\ne.getMessage());\n} catch(IOException e) {\nSystem.out.println(“Error interacting with file: “ +\ne.getMessage());\n} finally {\n. . .\n}","Java Fundamentals: The Java Language","Exceptions and Error Handling","Handling Exceptions by Type","3:00","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=2&mode=live&start=180.755056&noteid=6c6b0400-5226-45a0-85c2-549d0258d86e"
"Exceptions and Methods:\n- exceptions propagate up the call stack\n  - exceptions can cross method boundaries\n- in Java, exceptions that a method throws are part of that method's contract\n  - the method is responsible for any checked exceptions that might occur, and it has 2 choices for dealing with them:\n    - catch the exception\n    - document that the exception might occur by using the ""throws"" clause\n        - the throws clause lists any checked exceptions that might occur within that method that it doesn't handle\n- Example:\npublic class Flight {\nint passengers;\n// other members elided for clarity\npublic void addPassengers(String filename) throws IOException {\nBufferedReader reader = null;\ntry {\nreader = new BufferedReader(new FileReader(filename));\nString line = null;\nwhile ((line = reader.readLine()) != null) {\nString[] parts = line.split("" "");\npassengers += Integer.valueOf(parts[0]);\n}\n} finally {\nif(reader != null)\nreader.close();\n}\n}\n}\n\n- The above example of code is useful for when you want to take note of an exception and make sure that the code runs WITHOUT handling the exception itself, hence the try-finally block WITHOUT the catch block","Java Fundamentals: The Java Language","Exceptions and Error Handling","Exceptions and Methods","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=3&mode=live&start=3.175119&noteid=6f7c213e-64ac-4693-b39c-1f969934bf0d"
"Exceptions and Method Overriding:\n- the throws clause of an overriding method MUST be compatible with the throws clause of the overriden method\n- 3 ways to be compatible\n   - can exclude exceptions\n   - can have the same exception\n   - can have a derived exception\n       - Example: if base class threw IOException, derived class CAN throw FileNotFoundException, because FileNotFoundException is derived from IOException","Java Fundamentals: The Java Language","Exceptions and Error Handling","Exceptions and Methods","5:18","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=3&mode=live&start=318.45283&noteid=7a4a3fbb-6889-4895-ab10-b13860304149"
"Throwing Exceptions:\n- your code can throw exceptions\n  - use the ""throw"" keyword and then provide an instance of the exception we want to throw\n    - must create exception instance before throwing (using the new keyword)\n      - be sure to provide meaningful detail\n- Example: throw new InvalidStatementException(parameter-list);\n- most exception classes provide a constructor that accepts a String message or other detail\n- when caused by another exception, be sure to include the original exception\n  - all exception classes support the initCause method,which will allow you to associate an exception with an instance of another exception\n     - many exception classes provide a constructor that accepts the originating exception so you can actually create the new exception and associate the original all in one step\n- getCause function for exceptions returns the cause of this throwable or null if the cause is nonexistent or unknown.\n- Note: throwing a method but making sure that the previous method has to actually deal with it is possible as long as you include ""throws"" in the method header","Java Fundamentals: The Java Language","Exceptions and Error Handling","Throwing Exceptions and Custom Exceptions","0:08","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=4&mode=live&start=8.252157&noteid=c432cc47-8e69-4f12-bb60-4fbe1bb8527d"
"Creating a Custom Exception Type:\n- you can create your own custom exception types\n- in most cases it's better to use existing exception types\n- normally inherit directly from the Exception class\n  - makes them checked exceptions\n  -  the only members that your custom exception type will have will be constructors, because most of the required functionality is inherited\n- you will need to have at least 2 constructors:\n  - one constructor that accepts the required detail\n  - one constructor that accepts the required detail AND the originating exception\n- Example:\npublic class InvalidStatementException extends Exception {\n    public InvalidStatementException(String reason, String statement) {\n super(reason + "": "" + statement);\n    }\n\n    public InvalidStatementException(String reason, String statement, Throwable cause) {\n  super(reason + "": "" + statement, cause);\n    }\n\n}","Java Fundamentals: The Java Language","Exceptions and Error Handling","Throwing Exceptions and Custom Exceptions","1:51","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m10&clip=4&mode=live&start=111.691942&noteid=604ef18a-7c5c-4402-8b11-df18fc180f81"
"What is a package?\n- A package is a group of related types\n- By putting our types in packages, we get 3 core benefits:\n  - packages provide a namespace, that allow us to avoid type-naming collisions\n- packages provide an access boundary, a way to limit access to types and type-members\n- act as a unit of distribution, act as a way for us to distribute our types\n","Java Fundamentals: The Java Language","Working with Packages","What Is a Package?","0:08","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m11&clip=1&mode=live&start=8.039921&noteid=f84b6eea-8803-45c0-a573-febfc5e340fb"
"Declaring Packages:\n- each source file identifies the associated package\n - use the ""package keyword""\n- package declaration must appear before any type declarations\n- once that package declaration (""package xxxx;""), any type that appears in that source file will now be part of that package, the package applies to all types within that source file","Java Fundamentals: The Java Language","Working with Packages","What Is a Package?","0:36","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m11&clip=1&mode=live&start=36.415017&noteid=c0d8f899-3cd6-4af4-9803-662a757a2fad"
